,codes,funds
10,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth
13,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
25,152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth
30,121279,BANDHAN Banking & PSU Debt Fund - Direct Growth
42,148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option
47,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option
51,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth
63,140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option
73,129008,Franklin India Banking & PSU Debt Fund - Direct - Growth
78,128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan
82,151107,HSBC Banking and PSU Debt Fund - Direct Growth
93,120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
105,120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option
110,148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option
120,123693,Kotak Banking and PSU Debt Direct - Growth
123,120338,LIC MF Banking & PSU Fund-Direct Plan-Growth
130,148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth
134,134552,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option
135,134547,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option
147,125503,SBI BANKING & PSU FUND - Direct Plan - Growth
154,134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth
166,119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth
175,148656,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH
189,126940,UTI Banking & PSU Fund - Direct Plan - Growth Option
199,119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan
214,141588,Axis Corporate Bond Fund - Direct Plan Growth
221,135916,BANDHAN Corporate Bond Fund - Direct Growth
237,150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option
244,126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION
248,144646,DSP Corporate Bond Fund - Direct - Growth
257,118569,Franklin India Corporate Debt Fund - Direct - GROWTH
269,118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan
275,150996,HSBC Corporate Bond Fund - Direct Growth
287,120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
309,120497,Invesco India Corporate Bond Fund - Direct Plan - Growth
317,133791,Kotak Corporate Bond Fund- Direct Plan- Growth Option
328,148755,Mirae Asset Corporate Bond Fund Direct Growth Plan
338,118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus
339,118814,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option
348,138330,PGIM India Corporate Bond Fund - Direct Plan - Growth
359,146215,SBI Corporate Bond Fund - Direct Plan - Growth
367,119621,Sundaram Corporate Bond Fund Direct Plan - Growth
376,149361,Tata Corporate Bond Fund-Direct Plan-Growth
390,151320,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH
394,143241,Union Corporate Bond Fund - Direct Plan - Growth Option
399,148086,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option
410,144339,UTI Corporate Bond Fund - Direct Plan - Growth Option
420,134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth
424,130314,Axis Credit Risk Fund - Direct Plan - Growth
437,140603,BANDHAN Credit Risk Fund-Direct Plan-Growth
447,152898,Baroda BNP Paribas Credit Risk fund -Direct - Growth option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-Growth option Seg. Portfolio 1)
454,133488,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option
462,148333,Baroda BNP Paribas Credit Risk Fund- Direct- Growth Option- Segregated Portfolio- 1
471,119082,DSP Credit Risk Fund - Direct Plan - Growth
482,118553,Franklin India Credit Risk Fund - Direct - Growth
486,148304,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes bank Ltd CO 23Dec21) - Direct Growth Plan
489,147955,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan
493,147958,Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan
499,128051,HDFC Credit Risk Debt Fund - Growth Option - Direct Plan
505,151045,HSBC Credit Risk Fund - Direct Growth
514,120711,ICICI Prudential Credit Risk Fund - Direct Plan - Growth
522,130722,Invesco India Credit Risk Fund - Direct Plan - Growth
529,119741,Kotak Credit Risk Fund - Growth - Direct
537,118780,Nippon India Credit Risk Fund - Direct Plan - Growth Plan
542,148101,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan - Growth Plan
549,148261,Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan
554,119798,SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH
560,148242,UTI - Credit Risk Fund (Segregated - 06032020) - Direct Plan - Growth Option
573,148430,UTI - Credit Risk Fund (Segregated - 07072020) - Direct Plan - Growth Option
584,147651,UTI - Credit Risk Fund (Segregated - 13092019) - Direct Plan - Growth Option
594,148147,UTI - Credit Risk Fund (Segregated - 17022020) - Direct Plan - Growth Option
609,120764,UTI Credit Risk Fund - Direct Plan - Growth Option
619,122715,360 ONE Dynamic Bond Fund Direct Plan Growth
626,119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan
635,120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option
648,118416,BANDHAN Dynamic Bond Fund-Direct Plan-Growth
654,150180,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth Option
666,118284,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION
670,119239,DSP Strategic Bond Fund - Direct Plan - Growth
680,118495,Franklin India Dynamic Accrual Fund - Direct - Growth
683,148308,Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Growth Plan
686,147984,Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan
690,147988,Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct-Growth Plan
696,145589,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option
707,119075,HDFC Dynamic Debt Fund - Growth Option - Direct Plan
717,151087,HSBC Dynamic Bond Fund - Direct Growth
725,120603,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth
739,149029,ITI Dynamic Bond Fund - Direct Plan - Growth Option
761,120435,JM Dynamic Bond Fund - (Direct) - Growth Option
766,119755,Kotak Dynamic Bond Fund - Growth - Direct
769,144403,Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth
775,140769,Mirae Asset Dynamic Bond Fund -Direct Plan -Growth
781,118747,Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option
785,120084,PGIM India Dynamic Bond Fund - Direct Plan-Growth Option
792,134494,Quantum Dynamic Bond Fund - Direct Plan Growth Option
796,119671,SBI Dynamic Bond Fund - DIRECT PLAN - Growth
800,119097,Tata Dynamic Bond Fund- Direct Plan-Growth Option
804,119311,Union Dynamic Bond Fund - Direct Plan - Growth Option
808,148118,UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option
820,120762,UTI Dynamic Bond Fund - Direct Plan - Growth Option
830,122646,Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth
838,149049,Axis Floater Fund - Direct Plan - Growth
848,148711,BANDHAN FLOATING RATE FUND  - DIRECT PLAN GROWTH
860,151735,Baroda BNP Paribas Floater Fund - Direct Plan - Growth Option
864,148771,DSP Floater Fund - Direct Plan - Growth
868,118508,Franklin India Floating Rate Fund - Direct - Growth
874,118961,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
884,120425,ICICI Prudential Floating Interest Fund - Direct Plan - Growth
907,147269,KOTAK FLOATING RATE FUND-DIRECT PLAN-GROWTH OPTION
911,118656,Nippon India Floating Rate Fund  - Direct Plan Growth Plan - Growth Option
923,148550,SBI Floating Rate Debt Fund - Direct Plan - Growth
929,149007,Tata Floating Rate Fund -Direct Plan-Growth
943,145295,UTI - Floater Fund - Direct Plan - Growth Option
956,119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan
958,120447,Axis Gilt Fund - Direct Plan - Growth Option
971,118464,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Growth
976,119341,Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option
980,118299,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION
984,119099,DSP Gilt Fund - Direct Plan - Growth
991,140298,Edelweiss Government Securities Fund - Direct Plan - Growth Option
1002,118498,Franklin India Government Securities Fund - Direct - Growth
1006,119116,HDFC Gilt Fund - Growth Option - Direct Plan
1010,151014,HSBC Gilt Fund - Direct Growth
1015,120590,ICICI Prudential Gilt Fund - Direct Plan - Growth
1022,120608,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth
1029,120520,Invesco India Gilt Fund - Direct  Plan - Growth
1037,119757,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct
1040,119759,Kotak Gilt-Investment Regular-Growth - Direct
1043,120282,LIC MF Gilt Fund-Direct Plan-Growth
1053,118672,Nippon India Gilt Securities Fund - Direct Plan Growth Plan - Growth Option
1059,133265,Nippon India Gilt Securities Fund- Direct Plan- Growth Plan- Bonus Option
1064,138472,PGIM India Gilt Fund - Direct Plan - Growth
1070,151228,quant Gilt Fund - Growth Option - Direct Plan
1078,119707,SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH
1091,119953,Tata Gilt Securities Fund- Direct Plan - Growth Option
1093,150407,Union Gilt Fund - Direct Plan - Growth Option
1098,120792,UTI - GILT FUND - Direct Plan - Growth Option
1110,118387,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth
1115,131301,DSP 10Y G-Sec Fund - Direct Plan - Growth
1125,131061,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth
1133,120137,SBI MAGNUM CONSTANT MATURITY FUND - DIRECT PLAN - GROWTH
1139,150410,UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Growth Option
1147,125345,360 ONE LIQUID FUND DIRECT PLAN  GROWTH
1153,119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan
1168,120389,Axis Liquid Fund - Direct Plan - Growth Option
1181,151833,Bajaj Finserv Liquid Fund - Direct Plan - Growth
1202,118364,BANDHAN LIQUID Fund -Direct Plan-Growth
1209,119369,BANK OF INDIA Liquid Fund- Direct Plan- Growth
1215,119415,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION
1230,118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION
1238,139235,Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option
1239,119125,DSP Liquidity Fund - Direct Plan - Growth
1246,140196,Edelweiss Liquid Fund - Direct Plan - Growth Option
1268,118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth
1281,119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option
1291,119091,HDFC Liquid Fund - Growth Option - Direct Plan
1302,120038,HSBC Liquid Fund -  Growth Direct
1322,120197,ICICI Prudential Liquid Fund - Direct Plan - Growth
1347,120537,Invesco India Liquid Fund - Direct Plan - Growth
1363,147157,ITI Liquid Fund - Direct Plan - Growth Option
1374,120406,JM Liquid Fund (Direct) - Growth Option
1381,148414,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan
1382,148413,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan
1383,148415,JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan
1384,139258,JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan
1385,139260,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan
1386,139257,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan
1387,139259,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan
1391,119766,Kotak Liquid Fund - Growth - Direct
1400,120249,LIC MF Liquid Fund-Direct Plan-Growth
1409,139538,Mahindra Manulife Liquid Fund - Direct Plan -Growth
1415,118859,Mirae Asset Liquid Fund - Direct Plan - Growth
1423,145834,Motilal Oswal Liquid Fund - Direct Growth
1445,119164,Navi Liquid Fund-Direct Plan-Growth Option
1454,118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option
1485,138299,PGIM India Liquid Fund - Direct Plan - Growth
1495,143269,Parag Parikh Liquid Fund- Direct Plan- Growth
1502,120837,quant Liquid Fund - Growth Option - Direct Plan
1515,103734,Quantum Liquid Fund - Direct Plan Growth Option
1527,119800,SBI Liquid Fund - DIRECT PLAN -Growth
1540,149664,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option
1553,119861,Tata Liquid Fund- Direct Plan-Growth Option
1558,148841,TRUSTMF Liquid Fund-Direct Plan-Growth
1568,119303,Union Liquid Fund - Direct Plan - Growth Option
1595,120304,UTI-  Liquid Cash Plan - Direct Plan - Growth Option
1602,145971,WhiteOak Capital Liquid Fund- Direct plan-Growth Option
1610,150484,Aditya Birla Sun Life Long Duration Fund-Direct Growth
1615,151179,Axis Long Duration Fund - Direct Plan - Growth
1624,152520,Bandhan Long Duration Fund - Direct Plan - Growth
1629,151313,HDFC Long Duration Debt Fund - Growth Option - Direct Plan
1634,120743,ICICI Prudential Long Term Bond Fund - Direct Plan - Growth
1644,152491,Kotak Long Duration Fund - Direct Plan - Growth
1658,143704,Nippon India Nivesh Lakshya Fund- Direct Plan- Growth Option
1660,151214,SBI Long Duration Fund - Direct Plan - Growth
1666,151523,UTI Long Duration Fund - Direct Plan - Growth Option
1674,119523,Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan
1685,120513,Axis Treasury Advantage Fund - Direct Plan - Growth Option
1703,118371,BANDHAN Low Duration Fund-Direct Plan-Growth
1709,150169,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Growth Option
1721,118291,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION
1730,133925,DSP Low Duration Fund - Direct Plan - Growth
1740,118530,Franklin India Low Duration Fund - Direct - Growth
1747,147989,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan
1754,147999,Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct- Growth Plan
1760,118942,HDFC Low Duration  Fund - Direct Plan - Growth
1771,151117,HSBC Low Duration Fund - Direct Growth
1780,120398,ICICI Prudential Savings Fund - Direct Plan - Growth
1797,120570,Invesco India Low Duration Fund - Direct Plan - Growth
1812,143612,JM Low Duration Fund (Direct) - Growth
1820,133810,Kotak Low Duration Fund- Direct Plan- Growth Option
1824,120315,LIC MF Low Duration Fund-Direct Plan-Growth
1834,140613,Mahindra Manulife Low Duration Fund - Direct Plan -Growth
1840,118840,Mirae Asset Low Duration Fund - Direct Plan - Growth
1855,118702,Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option
1856,118709,Nippon India Low Duration Fund - Direct Plan Growth Plan - Growth Option
1871,119812,SBI MAGNUM LOW DURATION FUND - DIRECT PLAN - GROWTH
1886,149526,Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Growth Option
1897,119863,Tata Treasury Advantage Fund - Direct Plan - Growth Option
1910,120735,UTI Low Duration Fund - Direct Plan - Growth Option
1934,119539,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan
1940,120475,Axis Strategic Bond Fund - Direct Plan - Growth Option
1957,118401,BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Growth
1971,150294,Baroda BNP Paribas Medium Duration Fund - Direct Plan - Growth - Segregated Portfolio - 1
1972,150241,BARODA BNP PARIBAS Medium Duration Fund - Direct Plan - Growth Option
1985,118924,DSP Bond Fund - Direct Plan - Growth
1991,118554,Franklin India Income Opportunities Fund - Direct - Growth
1996,147963,Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Growth Plan
2001,147966,Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan
2006,119081,HDFC Medium Term Debt Fund - Growth Option - Direct Plan
2010,151146,HSBC Medium Duration Fund - Direct Growth
2017,120670,ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth
2031,149011,Invesco India Medium Duration Fund - Direct - Growth
2037,128006,Kotak Medium Term Fund - Direct Growth
2046,130050,Nippon India Strategic Debt Fund - Direct Plan - Growth Option
2054,148080,Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct Plan - Growth Option
2062,148285,Nippon India Strategic Debt Fund - Segregated Portfolio 2 - Direct Plan - Growth Option
2064,119824,SBI MAGNUM MEDIUM DURATION FUND - DIRECT PLAN - GROWTH
2069,119675,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth
2079,119127,Tata Medium Term Fund- Direct Plan- Growth Option
2081,148479,Union Medium Duration Fund - Direct Plan -  Growth Option
2087,148257,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Growth Option
2100,148441,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Growth Option
2109,148136,UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option
2123,134503,UTI Medium Duration Fund - Direct Plan - Growth Option
2136,119657,Aditya Birla Sun Life Income Fund - Growth - Direct Plan
2146,118394,BANDHAN Bond Fund - Income Plan-Direct Plan-Growth
2154,119393,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth
2163,118282,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION
2168,152851,Franklin India Medium to Long Duration Fund - Direct Growth
2172,119069,HDFC Income Fund - Growth Option - Direct Plan
2177,120059,HSBC Medium to Long Duration Fund - Direct Growth
2182,120619,ICICI Prudential Bond Fund - Direct Plan - Growth
2194,120430,JM Medium to Long Duration Fund (Direct) - Growth Option
2200,119735,Kotak Bond Fund - Growth - Direct
2206,120279,LIC MF Medium to Long Duration Fund-Direct Plan-Growth
2218,118687,Nippon India Income Fund - Direct Plan Growth Plan - Growth Option
2219,118679,Nippon India Income Fund - Direct Plan Growth Plan-Bonus Option
2230,119714,SBI Magnum Income Fund-DIRECT PLAN -Growth
2233,119876,Tata Income Fund - Direct Plan - Growth Option
2248,120689,UTI Medium to Long Duration Fund-Growth - Direct
2253,119511,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan
2260,147567,Axis Money Market Fund - Direct Plan - Growth Option
2268,151889,Bajaj Finserv Money Market Fund-Direct Plan-Growth
2280,118384,BANDHAN Money Manager Fund -Direct Plan-Growth
2288,147377,Baroda BNP Paribas Money Market Fund- Direct Plan - Growth
2293,119106,DSP Savings Fund - Direct Plan - Growth
2301,140237,Edelweiss Money Market Fund - Direct Plan - Growth Option
2307,118506,Franklin India Money Market Fund - Direct - Growth
2322,119092,HDFC Money Market Fund - Growth Option - Direct Plan
2326,151054,HSBC Money Market Fund - Direct Growth
2338,120211,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth
2352,120507,Invesco India Money Market Fund - Direct Plan - Growth
2363,143597,JM Money Market Fund (Direct) - Growth
2373,119746,Kotak Money Market Fund - (Growth) - Direct
2376,150392,LIC MF Money Market Fund-Direct Plan-Growth
2379,149112,Mirae Asset Money Market Fund Direct Growth
2388,118715,Nippon India Money Market Fund - Direct Plan Growth Plan - Bonus Option
2389,118719,Nippon India Money Market Fund - Direct Plan Growth Plan - Growth Option
2396,148161,PGIM India Money Market Fund - Direct Plan - Growth Option
2404,152114,PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan - Growth Option
2411,119821,SBI  SAVINGS FUND - DIRECT PLAN - GROWTH
2421,145050,Sundaram Money Market Fund Direct Plan - Growth
2436,119424,Tata Money Market Fund- Direct Plan- Growth Option
2439,150513,TRUSTMF MONEY MARKET FUND-DIRECT PLAN-GROWTH
2443,149117,Union Money Market Fund - Direct Plan -  Growth Option
2451,120299,UTI MMF - Direct Plan - Growth Option
2478,145486,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH
2481,146675,Axis Overnight Fund - Direct Plan - Growth Option
2490,151849,Bajaj Finserv Overnight Fund - Direct Plan - Growth
2499,146191,BANDHAN Overnight Fund - Direct Plan - Growth
2508,147951,BANK OF INDIA Overnight Fund Direct Plan Growth
2521,147196,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth
2531,147531,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION
2534,146062,DSP Overnight Fund - Direct Plan - Growth
2547,147570,Edelweiss Overnight Fund - Direct Plan - Growth
2565,147214,Franklin India Overnight Fund- Growth - Direct
2572,147450,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option
2586,119110,HDFC Overnight Fund - Growth Option - Direct Plan
2589,152152,Helios Overnight Fund - Direct Plan - Growth Option
2593,147287,HSBC Overnight Fund - Direct Growth
2609,145536,ICICI Prudential Overnight Fund - Direct Plan - Growth
2625,147883,Invesco India Overnight Fund - Direct Plan - Growth
2635,147713,ITI Overnight Fund - Direct Plan - Growth Option
2649,147837,JM Overnight Fund - (Direct) - Growth
2650,149828,JM Overnight Fund - (Direct) - Unclaimed IDCW - Growth Plan
2651,149827,JM Overnight Fund - (Direct) - Unclaimed IDCW I.E.F. - Growth Plan
2652,149829,JM Overnight Fund - (Direct) - Unclaimed Redemption - Growth Plan
2653,149826,JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan
2654,146141,Kotak Overnight Fund -Direct Plan-Growth Option
2659,147515,LIC MF Overnight Fund-Direct Plan-Growth
2667,147564,Mahindra Manulife Overnight Fund - Direct Plan -Growth
2674,147736,Mirae Asset Overnight Fund Direct Plan Growth
2681,151875,NAVI Overnight Fund Direct Plan Growth
2690,145810,Nippon India Overnight Fund - Direct Plan - Growth Option
2698,150369,NJ Overnight Fund - Direct Plan - Growth Option
2702,147606,PGIM India Overnight Fund - Direct Plan - Growth Option
2707,151190,quant Overnight Fund - Growth Option - Direct Plan
2711,150631,Samco Overnight Fund - Direct Plan - Growth Option
